sexo;fono;edad;hijos;Garante;Aval;meses;renta;morosidad
Masculino;Si;44;3;Si;Si;63;Fija;No
Masculino;Si;77;4;Si;No;62;Fija;Si
Masculino;No;59;5;No;Si;59;Fija;Si
Masculino;No;35;5;Si;Si;58;Fija;Si
Masculino;Si;65;0;No;Si;56;Fija;No
Femenino;Si;66;1;No;No;54;Fija;No
Femenino;Si;73;5;Si;Si;53;Fija;Si
Masculino;No;73;0;No;No;53;Fija;No
Masculino;Si;74;0;No;Si;53;Fija;No
Masculino;No;75;1;Si;Si;53;Fija;Si
Femenino;Si;52;0;Si;Si;52;Variable;No
Femenino;Si;76;0;Si;No;52;Fija;No
Masculino;Si;60;0;No;Si;51;Fija;No
Masculino;Si;61;0;Si;Si;51;Fija;No
Femenino;Si;69;0;No;No;51;Fija;No
Masculino;Si;72;5;Si;Si;51;Fija;Si
Masculino;No;73;4;Si;Si;51;Fija;Si
Masculino;Si;73;0;Si;Si;51;Fija;No
Masculino;Si;68;1;No;Si;50;Fija;No
Masculino;No;73;1;Si;No;50;Fija;No
Femenino;No;76;0;No;Si;50;Fija;No
Masculino;No;61;0;Si;Si;49;Fija;No
Masculino;Si;61;0;No;Si;49;Fija;No
Masculino;No;74;0;Si;Si;49;Fija;No
Masculino;Si;75;1;No;No;49;Fija;No
Masculino;No;68;3;No;Si;48;Fija;No
Masculino;Si;69;3;No;No;48;Fija;No
Femenino;Si;69;1;Si;No;48;Fija;No
Masculino;Si;61;1;Si;Si;47;Fija;No
Masculino;Si;66;0;No;Si;47;Fija;No
Masculino;Si;64;4;No;Si;46;Fija;Si
Masculino;No;66;0;Si;Si;46;Fija;No
Masculino;No;66;0;No;Si;46;Fija;No
Masculino;Si;68;1;No;No;46;Fija;No
Masculino;No;65;5;Si;Si;45;Fija;Si
Masculino;No;67;2;No;Si;45;Fija;No
Femenino;No;65;0;Si;Si;44;Fija;No
Femenino;No;57;5;Si;Si;43;Fija;Si
Masculino;No;61;0;Si;Si;43;Fija;No
Masculino;Si;61;0;Si;No;43;Variable;No
Masculino;No;66;2;Si;No;43;Fija;No
Masculino;No;67;0;Si;Si;43;Fija;No
Masculino;No;74;1;No;Si;43;Fija;Si
Masculino;No;75;0;Si;Si;43;Fija;No
Masculino;No;60;5;Si;Si;42;Fija;Si
Masculino;Si;61;0;No;Si;42;Fija;No
Femenino;No;63;0;Si;Si;42;Variable;No
Femenino;No;67;5;Si;Si;42;Fija;Si
Masculino;No;59;3;No;No;41;Fija;No
Femenino;Si;60;0;Si;No;41;Fija;No
Masculino;No;62;2;Si;Si;41;Fija;No
Masculino;No;65;1;Si;No;41;Variable;No
Masculino;Si;65;0;No;Si;41;Fija;No
Femenino;No;66;2;No;Si;41;Fija;No
Masculino;Si;66;0;No;Si;41;Fija;No
Masculino;No;69;2;Si;Si;41;Fija;No
Masculino;No;58;1;No;No;40;Fija;Si
Masculino;Si;59;2;Si;Si;40;Fija;No
Femenino;Si;59;0;No;No;40;Fija;No
Masculino;Si;63;1;No;No;40;Fija;No
Masculino;Si;67;0;Si;Si;40;Fija;No
Masculino;No;69;4;Si;Si;40;Fija;Si
Masculino;No;75;0;Si;Si;40;Fija;No
Masculino;Si;76;2;No;Si;40;Fija;Si
Femenino;No;42;5;Si;Si;39;Fija;Si
Femenino;No;55;1;Si;No;39;Fija;No
Femenino;Si;58;0;No;Si;39;Fija;No
Masculino;No;59;1;Si;Si;39;Fija;Si
Masculino;Si;59;0;Si;Si;39;Fija;No
Masculino;Si;60;1;No;Si;39;Fija;No
Masculino;Si;62;4;No;No;39;Fija;Si
Masculino;Si;66;1;Si;Si;39;Fija;Si
Masculino;Si;74;0;Si;Si;39;Fija;No
Masculino;No;51;4;Si;No;38;Fija;Si
Femenino;Si;57;1;No;No;38;Fija;No
Femenino;No;58;5;Si;Si;38;Fija;Si
Femenino;Si;58;4;Si;No;38;Fija;Si
Masculino;Si;58;0;Si;Si;38;Fija;No
Masculino;Si;59;5;Si;No;38;Fija;Si
Masculino;No;60;2;Si;Si;38;Fija;No
Masculino;No;60;2;Si;Si;38;Fija;No
Femenino;No;60;0;No;Si;38;Fija;No
Masculino;No;61;3;No;No;38;Fija;No
Masculino;Si;61;1;No;No;38;Fija;No
Masculino;Si;61;0;Si;Si;38;Fija;No
Masculino;No;62;1;Si;No;38;Fija;No
Masculino;No;65;0;Si;Si;38;Fija;No
Femenino;No;67;5;Si;Si;38;Fija;Si
Masculino;No;67;1;No;Si;38;Variable;No
Femenino;No;68;1;Si;Si;38;Fija;No
Masculino;Si;69;2;Si;Si;38;Fija;No
Masculino;No;69;0;Si;Si;38;Fija;No
Masculino;No;74;1;Si;Si;38;Variable;No
Femenino;No;41;2;Si;No;37;Variable;No
Masculino;Si;57;2;Si;Si;37;Fija;No
Masculino;No;57;0;No;No;37;Fija;No
Masculino;No;58;5;Si;Si;37;Fija;Si
Masculino;No;58;5;Si;Si;37;Variable;Si
Masculino;Si;58;2;Si;No;37;Fija;No
Masculino;No;59;2;No;Si;37;Fija;No
Masculino;No;60;0;No;No;37;Fija;No
Masculino;No;61;5;Si;Si;37;Variable;Si
Masculino;No;61;3;Si;Si;37;Fija;No
Masculino;No;61;1;No;Si;37;Fija;No
Masculino;Si;62;2;No;No;37;Fija;No
Masculino;Si;63;1;No;Si;37;Fija;No
Masculino;No;65;1;Si;Si;37;Fija;No
Masculino;No;75;1;Si;Si;37;Fija;No
Masculino;No;56;3;Si;Si;36;Fija;No
Masculino;Si;56;1;No;No;36;Fija;No
Femenino;Si;57;2;Si;No;36;Fija;No
Masculino;Si;57;2;No;No;36;Fija;No
Masculino;No;59;3;No;No;36;Fija;No
Masculino;Si;59;1;No;No;36;Fija;No
Masculino;Si;60;0;No;No;36;Fija;No
Masculino;Si;60;0;Si;No;36;Fija;No
Masculino;Si;63;2;Si;No;36;Fija;No
Masculino;Si;64;1;Si;No;36;Fija;No
Masculino;No;65;0;No;No;36;Fija;No
