Codigo;Cap_endeudamiento;Tiempo_laboral;Prestamo;N_cuotas;Interes;Ingreso;Sexo;Estado_civil;Estado_SBS;Nivel_Educacion;Promocion;Mora
PER20ISP983289785;252.39;9;1,200;6;289.11;1140.125;Masculino;Casado;NORMAL;Secundaria;Si;Si
PER20ISP902150174;244.57;50;2,200;12;696.15;1061.375;Femenino;Soltero;NORMAL;Secundaria;No;Si
PER20ISP405731497;491.5;64;1,000;3;84.99;2082.196667;Femenino;Soltero;NORMAL;Secundaria;No;No
PER20ISP837518588;848.65;77;1,500;6;221.53;3422.423333;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP969446303;470.52;82;1,000;3;91.34;1882.09;Femenino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP049292961;490.77;79;1,500;6;221.53;2448.016667;Masculino;Soltero;NORMAL;Técnica;Si;No
PER20ISP681327223;428.57;71;4,000;12;1,109.56;1803.923333;Femenino;Soltero;NORMAL;Universitaria;No;No
PER20ISP886242726;647.87;4;1,200;6;289.11;2660.63;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP716783161;694.23;;900;6;149.79;2912.158333;Femenino;Casado;CPP;Universitaria;Si;No
PER20ISP383592792;209.48;77;1,000;6;152.32;2498.043333;Masculino;Soltero;NORMAL;Secundaria;Si;Si
PER20ISP035504503;740.53;43;600;4;61.97;4339.761667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP541474321;256.66;73;1,200;6;289.11;2279.176667;Femenino;Soltero;CPP;Secundaria;No;No
PER20ISP196500046;211.16;5;1,000;6;240.92;1204.875;Femenino;Soltero;CPP;Secundaria;No;No
PER20ISP194788605;214.08;14;1,000;6;240.92;1312.5;Masculino;Soltero;CPP;Técnica;Si;No
PER20ISP432843221;298.9;12;1,400;6;207.69;1875;Masculino;Soltero;NORMAL;Universitaria;Si;Si
PER20ISP148999794;462.32;28;1,000;3;84.99;1849.26;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP926024499;284.24;58;1,300;6;313.2;2841.976667;Femenino;Casado;NORMAL;Universitaria;Si;No
PER20ISP002584009;223.24;33;1,000;6;152.32;2157.236667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP759633057;304.33;81;700;3;62.07;2163.49;Masculino;Soltero;NORMAL;Técnica;No;No
PER20ISP481432134;567.25;8;1,000;3;84.99;2309.836667;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP404375079;610.52;19;2,500;6;360.78;2775.535;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP074800247;1,790.34;14;1,000;3;64.48;6118.708333;Masculino;Soltero;CPP;Postgrado;No;No
PER20ISP668695728;695.81;54;3,000;6;429.99;4487.788333;Masculino;Casado;CPP;Técnica;Si;No
PER20ISP038450968;1,462.75;80;500;1;23.05;3480.068333;Masculino;Soltero;NORMAL;Universitaria;No;No
PER20ISP733652980;463.8;4;4,200;12;1,288.25;1740.375;Femenino;Soltero;NORMAL;Secundaria;No;Si
PER20ISP750332220;580.48;12;1,000;3;84.99;2321.91;Masculino;Soltero;NORMAL;Universitaria;Si;No
PER20ISP537327812;341.63;5;1,700;6;318.91;1458.625;Femenino;Soltero;NORMAL;Técnica;No;No
PER20ISP075885526;350.76;0;1,500;6;221.53;0;Masculino;Soltero;NORMAL;Técnica;Si;No
