IRUC;DEPARTAMENTO;PROVINCIA;DISTRITO;Sexo;Cargo Informante;Cargo Informante otro;DESC_CIIU;Año funcionamiento;Empresa actualmente;Nivel ventas;Porcentaje;Capacidad operativa 2do trimestre;Modalidad ventas segundo trimentre;Disminución de la demanda de sus productos o servicios;Paralización de la producción a causa de la pandemia;Dificultad en la exportación de sus productos;Desabastecimiento de materias primas e insumos del mercado nacional;Desabastecimiento de materias primas e insumos del extranjero;Disminución de la inversión en maquinaria y equipos;Retraso en el pago de facturas;Retraso en el cobro de facturas;Enfermedad de trabajadores por el COVID-19;Pérdida de capital de trabajo;Altos costos para implementar planes de seguridad;¿Otro?;¿Otro? (Especifique);NO TUVO PROBLEMAS;¿Qué porcentaje de trabajadores laboró en la empresa en el segundo trimestre 2020 (Abril-Mayo-Junio); ¿Cuáles son las modalidades que ha adoptado la empresa para las labores de sus trabajadores?;TAMANO_EMPRESA
2632;LIMA;LIMA;SAN LUIS;1;Contador/a;;Fabricación de otros productos textiles n.c.p.;1997;Parcialmente operativa;Disminuyó;60;Hasta 20%;Solo a traves de delivery;1;1;0;1;1;0;0;1;1;0;1;0;;0;Hasta 20%;Trabajo mixto;Micro empresa
9839;CALLAO;CALLAO;CALLAO;2;Otro;SUB CONTADOR;Fundición de metales no ferrosos;1963;Parcialmente operativa;Disminuyó;40;De 41 a 60%;Presencial y delivery;1;1;1;1;0;0;0;0;0;0;0;0;;0;De 41 a 60%;Trabajo mixto;Micro empresa
9844;CALLAO;CALLAO;CALLAO;2;Contador/a;;Actividades de servicios vinculadas al transporte aéreo;1943;Parcialmente operativa;Disminuyó;87;Hasta 20%;Por otra modalidad;1;1;0;0;0;0;0;1;1;1;1;1;CIERRE DE AEROPUERTOS A NIVEL NACIONAL;0;De 41 a 60%;Trabajo mixto;Micro empresa
9873;CALLAO;CALLAO;CARMEN DE LA LEGUA REYNOSO;2;Contador/a;;Fabricación de muebles;1965;Parcialmente operativa;Disminuyó;50;De 21 a 40%;Presencial y delivery;1;1;0;0;0;0;1;1;1;0;1;0;;0;De 21 a 40%;Trabajo mixto;Micro empresa
9876;CALLAO;CALLAO;CALLAO;2;Contador/a;;Fundición de metales no ferrosos;1974;Parcialmente operativa;Disminuyó;20;De 41 a 60%;Solo a traves de delivery;1;0;1;0;0;0;0;0;0;0;0;0;;0;De 41 a 60%;Trabajo mixto;Micro empresa
9877;LIMA;LIMA;ATE;1;Otro;ANALISTA CONTABLE;Transporte de carga por carretera;1980;Parcialmente operativa;Disminuyó;70;Hasta 20%;Solo de forma presencial;1;0;0;0;0;0;0;0;0;0;0;0;;0;Hasta 20%;Solo trabajo presencial;Micro empresa
9887;LIMA;LIMA;LIMA;1;Otro;ANALISTA CONTABLE;Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;1975;Operativa;Se mantiene;;De 61 a 80%;Solo de forma presencial;0;0;0;0;1;0;0;1;0;1;1;0;;0;De 81 a 100%;Trabajo mixto;Micro empresa
9890;CALLAO;CALLAO;CALLAO;1;Otro;GERENTE DE RECURSOS HUMANOS;Fabricación de partes, piezas y accesorios para vehículos automotores;1957;Operativa;Disminuyó;90;Hasta 20%;Presencial y delivery;1;1;1;1;1;1;1;1;1;1;1;0;;0;Hasta 20%;Trabajo mixto;Micro empresa
9892;LIMA;LIMA;LIMA;2;Otro;ASESOR LEGAL;Fabricación de motores, generadores y transformadores eléctricos y aparatos de distribución y control de la energía eléctrica;1954;Parcialmente operativa;NO REALIO VENTAS;;Hasta 20%;;1;1;1;1;1;1;1;1;0;1;1;0;;0;Hasta 20%;Solo trabajo remoto;Micro empresa
9914;LIMA;LIMA;SAN JUAN DE MIRAFLORES;2;Contador/a;;Generación, transmisión y distribución de energía eléctrica;1972;Operativa;Disminuyó;10;De 81 a 100%;Por otra modalidad;1;0;0;0;0;0;0;1;0;0;1;0;;0;De 81 a 100%;Trabajo mixto;Micro empresa
9926;LIMA;LIMA;LIMA;2;Contador/a;;Venta al por mayor no especializada;1986;Parcialmente operativa;Disminuyó;30;De 21 a 40%;Por otra modalidad;1;1;1;0;0;0;1;0;0;0;0;0;;0;De 21 a 40%;Solo trabajo presencial;Micro empresa
9934;LIMA;LIMA;LIMA;2;Otro;JEFE DE CONTABILIDAD;Elaboración de cacao y chocolate y de productos de confitería;1963;Operativa;Disminuyó;10;De 41 a 60%;Solo de forma presencial;1;0;0;0;0;0;0;0;0;0;0;0;;0;De 61 a 80%;Trabajo mixto;Micro empresa
9939;LIMA;LIMA;LIMA;2;Contador/a;;"Forja, prensado, estampado y laminado de metales; pulvimetalurgia";1950;Parcialmente operativa;Disminuyó;80;De 61 a 80%;Solo online;1;1;0;1;0;0;1;1;1;1;0;0;;0;De 61 a 80%;Trabajo mixto;Micro empresa
9944;LIMA;LIMA;SANTIAGO DE SURCO;2;Otro;GERENTE FINANCIERO;Procesamiento de datos, hospedaje y actividades conexas;1976;Operativa;Disminuyó;14;De 81 a 100%;Presencial y delivery;0;0;0;0;0;0;1;1;1;0;1;0;;0;De 81 a 100%;Solo trabajo remoto;Micro empresa
9945;CALLAO;CALLAO;CALLAO;1;Contador/a;;Transporte de carga por carretera;1939;Operativa;Disminuyó;29;De 61 a 80%;Solo online;1;0;0;0;0;0;0;1;1;0;1;0;;0;De 81 a 100%;Trabajo mixto;Micro empresa
9948;LIMA;LIMA;SAN ISIDRO;2;Contador/a;;Transporte de pasajeros por vía aérea;1963;Parcialmente operativa;Disminuyó;90;De 61 a 80%;Presencial y delivery;1;1;0;0;0;0;1;0;0;0;0;0;;0;De 61 a 80%;Trabajo mixto;Micro empresa
